name,description,animal_ids,category_ids,address,longitude,latitude,tel_number,opening_hours,web_site,prefecture_id,id,suggest
児童野外活動センターこどもの杜,小さなお子さんを対象とした施設です。ウサギやモルモットなどの動物とふれあうことができます。,"3,7,20",11,神奈川県横浜市青葉区みたけ台２６−１７,139.5219429,35.55838709999999,045-972-7700,,http://minpokyo.or.jp/kodomonomori/,14,156,
保護猫カフェCAT LIVING,目黒区にある保護猫カフェです。猫の保護活動や里親探しに力を入れていて評判のいい施設です。,2,"4,10",東京都目黒区平町１丁目２７-5 2F,139.676469,35.61705370000001,03-6421-2853,月曜日: 12時00分～20時00分. 火曜日: 12時00分～20時00分. 水曜日: 定休日. 木曜日: 12時00分～20時00分. 金曜日: 12時00分～20時30分. 土曜日: 11時00分～20時30分. 日曜日: 11時00分～20時30分,http://www.cat-living.co.jp/,13,157,recommend
ねこのみせ,東京都町田市にある猫カフェです。2005年オープンというかなり歴史の長い猫カフェです。自宅のリビングのようにくつろげることをコンセプトとしているようで、男女問わず一人で来られる方も多いようです。,2,"4,10",東京都町田市原町田１丁目２−９ 小林ビル 202号室,139.446315,35.541273,042-722-0544,月曜日: 12時00分～22時00分. 火曜日: 定休日. 水曜日: 12時00分～22時00分. 木曜日: 12時00分～22時00分. 金曜日: 12時00分～22時00分. 土曜日: 12時00分～22時00分. 日曜日: 12時00分～22時00分,http://www.nya-n.jp/,13,158,
きゃりこ 吉祥寺店,吉祥寺駅から徒歩1分の場所にある猫カフェです。ふわふわの猫がたくさんいて癒されます。,2,"4,10",東京都武蔵野市吉祥寺本町１丁目８−２ ２Ｆ,139.5792215,35.7040644,0422-27-2117,月曜日: 11時00分～21時00分. 火曜日: 11時00分～21時00分. 水曜日: 11時00分～21時00分. 木曜日: 11時00分～21時00分. 金曜日: 11時00分～21時00分. 土曜日: 11時00分～21時00分. 日曜日: 11時00分～21時00分,http://catcafe.jp/index.php,13,159,
きゃりこ 武蔵野店,猫カフェきゃりこの系列店です。こちらは武蔵野店とは違い、里親募集の保護猫カフェのようです。,2,"4,10",東京都武蔵野市吉祥寺南町１丁目５−７ 雪ビル４Ｆ,139.57914,35.702633,0422-29-8353,月曜日: 11時00分～21時00分. 火曜日: 11時00分～21時00分. 水曜日: 11時00分～21時00分. 木曜日: 11時00分～21時00分. 金曜日: 11時00分～21時00分. 土曜日: 11時00分～21時00分. 日曜日: 11時00分～21時00分,https://calicohogomeko.mystrikingly.com/,13,160,
ねこ・ジャララ,定員１０名ほどのアットホームな雰囲気の猫カフェで１５匹以上の猫とふれあえるようです。,2,"4,10",東京都千代田区外神田３丁目５−５ 末広町ハイム １Ｆ,139.7695347,35.7018847,03-3258-2525,月曜日: 12時00分～20時00分. 火曜日: 12時00分～20時00分. 水曜日: 12時00分～20時00分. 木曜日: 12時00分～20時00分. 金曜日: 12時00分～20時00分. 土曜日: 12時00分～20時00分. 日曜日: 12時00分～20時00分,http://www.nekojalala.com/,13,161,
保護猫喫茶 要にゃんこ亭,里親募集をしている保護猫カフェです。猫の保護活動を行ったり、殺処分をなくすために活動を行なっています。猫を大切にしている雰囲気が伝わってくるオススメの施設です。,2,"4,10",東京都豊島区池袋３丁目１２−１,139.7004596,35.7346493,03-6905-9980,月曜日: 12時00分～21時00分. 火曜日: 12時00分～21時00分. 水曜日: 12時00分～21時00分. 木曜日: 12時00分～21時00分. 金曜日: 12時00分～21時00分. 土曜日: 12時00分～21時00分. 日曜日: 12時00分～21時00分,https://nyankotei.com/,13,162,recommend
キャテリアム,東京都世田谷区にある猫カフェです。１０匹以上の猫がいてふれあうことができます。予約はできないようです。,2,"4,10",東京都世田谷区北沢２丁目２６−６ モンブランビル ２F,139.6659694,35.6620611,03-3468-8114,月曜日: 定休日. 火曜日: 11時00分～21時00分. 水曜日: 11時00分～21時00分. 木曜日: 11時00分～21時00分. 金曜日: 11時00分～21時00分. 土曜日: 10時00分～21時00分. 日曜日: 10時00分～21時00分,http://www.cateriam.com/,13,163,
保護猫喫茶 necoma,里親募集をしている保護猫カフェです。店内が綺麗でとても清潔な印象があります。,2,"4,10",東京都目黒区中町１丁目３３−３ ３Ｆ,139.6947678,35.6309617,03-6412-8329,月曜日: 13時00分～20時00分. 火曜日: 13時00分～20時00分. 水曜日: 13時00分～20時00分. 木曜日: 定休日. 金曜日: 13時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,https://necoma.co/,13,164,
あらかわ遊園 どうぶつ広場,東京都荒川区にある遊園地です。長期休園中となっていましたが2022年にリニューアルオープンしました。なんといってもたくさんの種類の動物とふれあうことができます。ヤギやヒツジへのエサやり体験などを筆頭にポニーの乗馬体験などもできます。他にもカピバラやカンガルーと間近でふれあえたり、アルパカやワラビーなど珍しい動物もいるようです。ふれあえる動物や間近で見れる動物かかなり多く、オススメの施設です。,"3,7,8,12,13,14,17,40","1,11,12",東京都荒川区西尾久６丁目３５−１１,139.7584641,35.75376189999999,03-3893-6003,月曜日: 9時00分～20時00分. 火曜日: 定休日. 水曜日: 9時00分～20時00分. 木曜日: 9時00分～20時00分. 金曜日: 9時00分～20時00分. 土曜日: 9時00分～20時00分. 日曜日: 9時00分～20時00分,https://www.city.arakawa.tokyo.jp/yuuen/,13,165,recommend
足立区生物園,なんといってもこの施設の魅力は動物の多さだと思います。10種類近い哺乳類を筆頭に、鳥類、両生類、爬虫類、魚類、昆虫、その他など、本当に多くの生き物がいます。ヘラクレスオオカブトなど世界の珍しい昆虫や大きなトカゲなどもいて大人もかなり楽しむことができると思います。ふれあえる動物の種類は多くなく、ウサギやモルモットのみとなっていますが、とてもオススメの施設です。,"3,7",1,東京都足立区保木間２丁目１７−１,139.807227,35.792449,03-3884-5577,月曜日: 定休日. 火曜日: 9時30分～16時30分. 水曜日: 9時30分～16時30分. 木曜日: 9時30分～16時30分. 金曜日: 9時30分～16時30分. 土曜日: 9時30分～16時30分. 日曜日: 9時30分～16時30分,https://seibutuen.jp/animal/animal.html,13,166,recommend
なぎさポニーランド,総合レクリエーション公園の中のなぎさ公園にあります。ヤギとふれあったりポニーの乗馬体験ができます。,"12,14",1,東京都江戸川区南葛西７丁目３−３,139.8814184,35.6496583,03-5658-5720,月曜日: 定休日. 火曜日: 10時00分～11時30分 13時30分～15時00分. 水曜日: 10時00分～11時30分 13時30分～15時00分. 木曜日: 10時00分～11時30分 13時30分～15時00分. 金曜日: 10時00分～11時30分 13時30分～15時00分. 土曜日: 10時00分～11時30分 13時30分～15時00分. 日曜日: 10時00分～11時30分 13時30分～15時00分,https://www.edogawa-kankyozaidan.jp/,13,167,
篠崎ポニーランド,江戸川河川敷にある施設です。動物とのふれあいやポニー乗馬体験ができます。他にも遊具広場や花畑があります。,"12,14,15",1,東京都江戸川区篠崎町３丁目１２−１７,139.9130059,35.7056711,03-3678-7520,月曜日: 定休日. 火曜日: 10時00分～16時00分. 水曜日: 10時00分～16時00分. 木曜日: 10時00分～16時00分. 金曜日: 10時00分～16時00分. 土曜日: 10時00分～16時00分. 日曜日: 10時00分～16時00分,https://www.edogawa-kankyozaidan.jp/pony/,13,168,
ポニースクールかつしか,幼児から中学生までの子どもたちがポニーの世話や乗馬、子ども同士の交流を通して豊かな人格形成を図ることを目的として区が運営をしているようです。,12,1,東京都葛飾区水元１丁目１９,139.856671,35.781925,03-3627-0745,,http://www.city.katsushika.lg.jp/institution/1000097/1006914/1006936.html,13,169,recommend
HANA·BIYORI,よみうりランドが運営するフラワーパーク「HANA・BIYORI」が２０２２年に開業したふれあい動物広場です。モルモットやウサギとふれあったりエサやり体験ができます。ふれあうことはできないようですがカワウソもいるみたいです。,"3,7",11,東京都稲城市多摩区矢野口４丁目１−４０１５−１,139.5182977,35.628535,044-966-8717,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,https://www.yomiuriland.com/hanabiyori/,13,170,
東京競馬場,ウマとのふれあいイベントや乗馬体験ができます。ふれあい体験などは新型コロナウイルスの影響で長らく休止していたのでホームページでご確認ください。,12,11,東京都府中市日吉町１−１,139.4858524,35.6624775,042-363-3141,,http://www.jra.go.jp/facilities/race/tokyo/,13,171,
