name,description,animal_ids,category_ids,address,longitude,latitude,tel_number,opening_hours,web_site,prefecture_id,id,suggest
磯沼ミルクファーム（磯沼牧場）,乳製品を販売している牧場です。牛の乳搾り体験や、オプションで搾った牛乳でバター作り体験ができるようです。,11,3,東京都八王子市小比企町１６２５,139.3218253,35.6415453,042-637-6086,月曜日: 9時00分～17時00分. 火曜日: 9時00分～17時00分. 水曜日: 9時00分～17時00分. 木曜日: 9時00分～17時00分. 金曜日: 9時00分～17時00分. 土曜日: 9時00分～17時00分. 日曜日: 9時00分～17時00分,https://www.isonuma-milk.com/,13,1,
増田牧場,アイスクリームを販売している牧場です。牛舎があり、牛の見学をさせてもらえるようです。,11,3,東京都清瀬市中清戸４丁目,139.5301673,35.781483,042-492-8223,,https://www.dairy.co.jp/edf/list/kanto/masuda.html,13,2,recommend
夕やけ小やけふれあいの里 ふれあい牧場,ウサギやモルモットとふれあえたり、ポニーの乗馬体験ができます。,"3,7,12",1,東京都八王子市上恩方町２０３３,139.2156943,35.6696396,,月曜日: 9時00分～16時30分. 火曜日: 9時00分～16時30分. 水曜日: 9時00分～16時30分. 木曜日: 9時00分～16時30分. 金曜日: 9時00分～16時30分. 土曜日: 9時00分～16時30分. 日曜日: 9時00分～16時30分,https://www.yuyakekoyake.jp/experience/animal.html,13,3,
しながわ水族館,ドクターフィッシュとふれあえたり、カワウソやアザラシの餌やり体験ができます。,"9,24,25",2,東京都品川区勝島３丁目２−１,139.7375007,35.588476,03-3762-3433,月曜日: 10時00分～17時00分. 火曜日: 定休日. 水曜日: 10時00分～17時00分. 木曜日: 10時00分～17時00分. 金曜日: 10時00分～17時00分. 土曜日: 10時00分～17時00分. 日曜日: 10時00分～17時00分,http://www.aquarium.gr.jp/,13,4,
マクセル アクアパーク品川,カピバラにご飯をあげたり、イルカにタッチできるイベントがあります。,"8,21",2,東京都港区高輪４丁目１０−３０ 品川プリンスホテル内,139.7352393,35.62828390000001,03-5421-1111,月曜日: 10時00分～19時30分. 火曜日: 10時00分～19時30分. 水曜日: 10時00分～19時30分. 木曜日: 10時00分～19時30分. 金曜日: 10時00分～19時30分. 土曜日: 10時00分～19時30分. 日曜日: 10時00分～19時30分,http://www.aqua-park.jp/aqua/,13,5,recommend
サンシャイン水族館,ドクターフィッシュとふれあえる体験ができます。ふれあいではないですが、水槽の上から魚にエサをあげたり、スタッフのエピソードを聞きながらバックヤードを案内してくれる探検ガイドツアーという体験もできます。,25,2,東京都豊島区東池袋３丁目１−１ サンシャインシティワールドインポートマートビル屋上,139.7201573,35.7289254,03-3989-3466,月曜日: 9時30分～21時00分. 火曜日: 9時30分～21時00分. 水曜日: 9時30分～21時00分. 木曜日: 9時30分～21時00分. 金曜日: 9時30分～21時00分. 土曜日: 9時30分～21時00分. 日曜日: 9時30分～21時00分,https://sunshinecity.jp/aquarium/,13,6,recommend
はりねずみ屋ぽった (Harinezumiya POTTA),ハリネズミの販売も行っているハリネズミカフェです。,6,6,東京都千代田区飯田橋１丁目１１−４ potta2F,139.7479514,35.69938429999999,070-5369-8103,月曜日: 19時00分～0時00分. 火曜日: 定休日. 水曜日: 定休日. 木曜日: 19時00分～0時00分. 金曜日: 19時00分～0時00分. 土曜日: 14時00分～19時00分. 日曜日: 14時00分～19時00分,https://pottachick.jimdofree.com/,13,7,
うさぎカフェ もふれる,秋葉原にあるウサギカフェです。,3,10,東京都千代田区外神田４丁目８−３ セゾン秋葉原,139.7725434,35.7025967,03-3254-2323,月曜日: 12時00分～20時00分. 火曜日: 12時00分～20時00分. 水曜日: 12時00分～20時00分. 木曜日: 12時00分～20時00分. 金曜日: 12時00分～20時00分. 土曜日: 11時00分～19時00分. 日曜日: 11時00分～19時00分,http://moff-rell.com/ja/,13,8,
保護猫カフェ ネコリパブリック東京 お茶の水店,和室でまったりくつろげる保護猫カフェです,2,4,東京都文京区湯島３丁目１−９ ＣＲＡＮＥビル 4階,139.766883,35.7030548,03-5826-8920,月曜日: 15時00分～20時00分. 火曜日: 15時00分～20時00分. 水曜日: 15時00分～20時00分. 木曜日: 定休日. 金曜日: 15時00分～20時00分. 土曜日: 11時00分～18時00分. 日曜日: 11時00分～18時00分,http://www.neco-republic.jp/,13,9,
鳥のいるカフェ 千駄木店,たくさんの種類の鳥類とふれあえるバードカフェです。タカなどめずらしい鳥ともふれあえます。,"10,27,40","8,12",東京都文京区千駄木３丁目４２−１６,139.764763,35.72756709999999,03-6802-8572,月曜日: 13時00分～20時00分. 火曜日: 13時00分～20時00分. 水曜日: 13時00分～20時00分. 木曜日: 13時00分～20時00分. 金曜日: 13時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,http://toricafe.co.jp/,13,10,
